case,fold
病例14,0
病例17,0
病例19,0
病例21,0
病例29,0
病例40,0
病例44,0
病例5,0
病例56,0
病例61,0
病例67,0
病例69,0
病例73,0
病例78,0
病例81,0
病例9,0
病例12,1
病例2,1
病例24,1
病例26,1
病例3,1
病例34,1
病例35,1
病例38,1
病例39,1
病例42,1
病例52,1
病例54,1
病例58,1
病例59,1
病例72,1
病例80,1
病例15,2
病例18,2
病例23,2
病例25,2
病例30,2
病例32,2
病例53,2
病例57,2
病例6,2
病例62,2
病例63,2
病例64,2
病例70,2
病例71,2
病例77,2
病例27,3
病例31,3
病例4,3
病例43,3
病例45,3
病例48,3
病例49,3
病例50,3
病例60,3
病例65,3
病例66,3
病例68,3
病例7,3
病例74,3
病例82,3
病例1,4
病例10,4
病例11,4
病例13,4
病例16,4
病例20,4
病例22,4
病例33,4
病例36,4
病例37,4
病例46,4
病例55,4
病例75,4
病例79,4
病例8,4
