idx,case,scale,modality,fov_w,fov_h,content_w,content_h,pad_x,pad_y,target_iou,achieved_iou
0,k0000,near,WLI,256,256,256,256,0,0,0.5,0.4912
1,k0000,near,NBI,256,256,256,256,0,0,0.5,0.4912
2,k0001,near,WLI,256,256,256,256,0,0,0.5,0.51
3,k0001,near,NBI,256,256,256,256,0,0,0.5,0.51
4,k0002,near,WLI,256,256,256,256,0,0,0.5,0.49
5,k0002,near,NBI,256,256,256,256,0,0,0.5,0.49
6,k0003,near,WLI,256,256,256,256,0,0,0.5,0.5056
7,k0003,near,NBI,256,256,256,256,0,0,0.5,0.5056
8,k0004,near,WLI,256,256,256,256,0,0,0.5,0.5139
9,k0004,near,NBI,256,256,256,256,0,0,0.5,0.5139
10,k0005,near,WLI,256,256,256,256,0,0,0.5,0.4934
11,k0005,near,NBI,256,256,256,256,0,0,0.5,0.4934
12,k0006,near,WLI,256,256,256,256,0,0,0.5,0.4922
13,k0006,near,NBI,256,256,256,256,0,0,0.5,0.4922
14,k0007,near,WLI,256,256,256,256,0,0,0.5,0.5064
15,k0007,near,NBI,256,256,256,256,0,0,0.5,0.5064
