case,scale,none,rigid,bspline,fold
病例1,far,0.0,0.0,0.0,0.167694091796875
病例1,near,0.07171602037730582,0.07475477803620184,0.20880488909008602,0.2071075439453125
病例10,far,0.2035497927516208,0.23667576674291055,0.1969424092341697,0.100616455078125
病例10,near,0.6827897391059969,0.5803784069859751,0.5424335273190894,0.1195831298828125
病例11,far,0.18636888717751252,0.2101453777335984,0.21971830985915494,0.0444183349609375
病例11,near,0.3921073479897009,0.6658523817832839,0.711706102117061,0.0
病例12,far,0.02616864236188772,0.04729064039408867,0.09159779614325068,0.0
病例12,near,0.0,0.0008249123530624871,0.0,0.0
病例13,far,0.006236919213059858,0.001051801209571391,0.0002957704821058858,0.0103912353515625
病例13,near,0.2562669800959556,0.37477915833985,0.34457775459340406,0.0
病例14,far,0.14890084346151292,0.17685393258426965,0.3098146877144818,0.1264190673828125
病例14,near,0.5771479265712791,0.5728873076745368,0.5960727036676404,0.0
病例15,far,0.1584196030012347,0.11376870017020514,0.15022721197540764,0.3641204833984375
病例15,near,0.342409663220391,0.54727079588168,0.4936867696651243,0.0
病例16,far,0.241677201854193,0.25505680243834855,0.13493742288031024,0.0
病例16,near,0.09629670239302651,0.10225175341454411,0.06591593973037271,0.1042633056640625
病例17,far,0.5484210526315789,0.6368062317429406,0.5604473219540906,0.0
病例17,near,0.40850046315245253,0.6678770539906104,0.6071600357314643,0.0225982666015625
病例18,far,0.06191432396251673,0.07246376811594203,0.06315912819310991,0.0218658447265625
病例18,near,0.30533072843985487,0.36633033745972526,0.41033912657768457,0.1502685546875
