checkpoint,epoch,gate_raw,gate_tanh,scale_embed_norm_0,scale_embed_norm_1,val_dice
ours_fold0_seed0.pt,44,-0.013538140803575516,-0.013537313768388804,0.14935202896595,0.178991436958313,0.7369027572780504
ours_fold0_seed1.pt,59,0.015812166035175323,0.015810848356821082,0.1338699907064438,0.20051011443138123,0.7394882051818269
ours_fold0_seed2.pt,43,-0.01637013629078865,-0.016368674150378248,0.1455034762620926,0.12138015031814575,0.7284527053278708
ours_fold1_seed0.pt,55,-0.017310159280896187,-0.017308430540073225,0.1501900553703308,0.21068309247493744,0.7527414077237423
ours_fold1_seed1.pt,39,-0.015079116448760033,-0.015077973657441731,0.15124790370464325,0.16064299643039703,0.7503563617512493
ours_fold1_seed2.pt,64,0.017430853098630905,0.01742908794749899,0.1939261108636856,0.1841151863336563,0.7746235992644519
ours_fold2_seed0.pt,36,-0.01655980758368969,-0.0165582940330066,0.15976446866989136,0.17585985362529755,0.7192543108019502
ours_fold2_seed1.pt,57,-0.017313262447714806,-0.017311532777073008,0.15505361557006836,0.12944722175598145,0.7266709929953986
ours_fold2_seed2.pt,64,0.016062075272202492,0.016060694128394795,0.1715877652168274,0.165292888879776,0.7357496792451514
ours_fold3_seed0.pt,52,0.00796043872833252,0.007960270585349117,0.1371372789144516,0.16790276765823364,0.7983553287178322
ours_fold3_seed1.pt,77,0.01194363459944725,0.01194306671040374,0.16050703823566437,0.1734611541032791,0.8019007965926345
ours_fold3_seed2.pt,13,0.0011150715872645378,0.001115071125110471,0.10442432761192322,0.11007148772478104,0.7662930116061697
ours_fold4_seed0.pt,43,-0.011155204847455025,-0.01115474215781217,0.1829850673675537,0.18584425747394562,0.7683902939168449
ours_fold4_seed1.pt,34,-0.01694737933576107,-0.016945757015823782,0.1623161882162094,0.15989813208580017,0.7615101374687072
ours_fold4_seed2.pt,47,0.018714621663093567,0.018712437117754884,0.17192605137825012,0.1762167513370514,0.7747024069229762
