case,scale,none,rigid,bspline,fold
病例1,far,0.0,0.0,0.03577817531305903,0.2666778564453125
病例1,near,0.07171602037730582,0.07608464483198639,0.12991275114063877,0.03643798828125
病例10,far,0.2035497927516208,0.2566475530070676,0.25593765791643397,0.0
病例10,near,0.6827897391059969,0.6168549386967902,0.5627658256596606,0.1000518798828125
病例11,far,0.18636888717751252,0.19877547345358504,0.43519477158017345,0.12530517578125
病例11,near,0.3921073479897009,0.5117387343191534,0.70593030364785,0.0
病例12,far,0.02616864236188772,0.2557843885075006,0.2878347854146499,0.0518035888671875
病例12,near,0.0,0.0030933333333333334,0.0,0.0113677978515625
病例13,far,0.006236919213059858,0.0008595729279768367,0.0043905785501943745,0.0
病例13,near,0.2562669800959556,0.3818678842861005,0.3095954115640986,0.0
病例14,far,0.14890084346151292,0.1858094864758918,0.1251086641553173,0.1971282958984375
病例14,near,0.5771479265712791,0.5852114459356799,0.5990767374965204,0.0
病例15,far,0.1584196030012347,0.10430493273542601,0.10390343756617491,0.409576416015625
病例15,near,0.342409663220391,0.5055219837466138,0.5066097724230254,0.0208282470703125
病例16,far,0.241677201854193,0.18070484581497798,0.2914963744232037,0.30877685546875
病例16,near,0.09629670239302651,0.11415232280737757,0.1199196568056141,0.0387420654296875
病例17,far,0.5484210526315789,0.4480354178195905,0.31340976426639183,0.03289794921875
病例17,near,0.40850046315245253,0.47257478472948083,0.5708694178198293,0.0
病例18,far,0.06191432396251673,0.07386519944979367,0.011949924127465858,0.027923583984375
病例18,near,0.30533072843985487,0.29084271372071796,0.4447817990446118,0.16094970703125
病例19,far,0.0,0.0,0.0,0.0
病例19,near,0.021817248459958933,0.015299393299920866,0.2489945155393053,0.0771331787109375
病例2,far,0.47843499691928526,0.47843499691928526,0.4630956088445967,0.0
病例2,near,0.5312271464092438,0.5312271464092438,0.8281419284940412,0.0
病例20,far,0.4183402804092459,0.47397094430992737,0.5623732251521298,0.003875732421875
病例20,near,0.5878548015900691,0.6460910340367046,0.7736089653988573,0.2251434326171875
病例21,far,0.0,0.0,0.0,0.1315155029296875
病例21,near,0.1637657834044036,0.214154033010172,0.2720875684128225,0.0485076904296875
病例22,far,0.24808364256886697,0.22043445606331966,0.14276440204352367,0.1635589599609375
病例22,near,0.5431955824723904,0.5886000104204658,0.5449222215650322,0.0982666015625
病例23,far,0.2190380498886025,0.2706609649530538,0.164899827207771,0.0134735107421875
病例23,near,0.4686899816874358,0.4355000781546569,0.46242297043851033,0.1445159912109375
病例24,far,0.1836864406779661,0.28586699244101704,0.3956255468066492,0.0
病例24,near,0.1376839289126696,0.032487937646913274,0.00011880999904952001,0.0
病例25,far,0.2262322128273871,0.26173541963015645,0.21253315649867374,0.094970703125
病例25,near,0.3494618037412478,0.3622703965729863,0.25638778710451066,0.003265380859375
病例26,far,0.7163688912243825,0.5115477861426566,0.6516064257028112,0.0
病例26,near,0.08738779512710267,0.024821785732601673,0.030733213787607093,0.0
病例27,far,0.12685714285714286,0.12238911053743252,0.24426784783741531,0.0174560546875
病例27,near,0.12125930611649068,0.12202599950944322,0.16347100925865127,0.2086029052734375
病例29,near,0.5408674940453805,0.40637379530538636,0.44247841420406175,0.0
病例3,far,0.4202575926220385,0.45409471704564885,0.4538005578800558,0.0
病例3,near,0.4521665728756331,0.5772857019288988,0.3947104701320204,0.0814971923828125
病例30,far,0.2832807570977918,0.5445639955034527,0.5346226903816267,0.0618743896484375
病例30,near,0.42815002107037503,0.44572085008615736,0.3178379697413372,0.15093994140625
病例31,near,0.6959614205993355,0.7312709788623787,0.6683420056764428,0.0
病例32,far,0.24545346487578748,0.3479090242112986,0.5128723795513056,0.0
病例32,near,0.09838548497907688,0.1383011413520632,0.13055371352785147,0.1060028076171875
病例33,far,0.32082844861273935,0.2540751240255138,0.37484170536091177,0.0148468017578125
病例33,near,0.3922062527781894,0.3911042944785276,0.36452971455311184,0.0
病例34,near,0.2199393650873193,0.24065608204114414,0.24762207983444104,0.057891845703125
病例35,far,0.02336719883889695,0.028901734104046242,0.005691372396843876,0.0
病例35,near,0.43073935558112775,0.4364017223321308,0.496924689051893,0.0419769287109375
病例36,far,0.052535237049240346,0.055373064289066166,0.07058431829532212,0.0
病例36,near,0.25635791797713026,0.2506506382451357,0.0,0.4511871337890625
病例37,far,0.44587934368956267,0.6260719062229565,0.4299387121148518,0.175994873046875
病例37,near,0.33880923689840886,0.4910462130937099,0.70132146071141,0.001007080078125
病例38,far,0.16415722323480467,0.1755454288825261,0.26391912908242615,0.1697235107421875
病例38,near,0.48413037566528105,0.6186649907976837,0.6740943000633868,0.0
病例39,far,0.4834905660377358,0.4848582060823816,0.6552609067579127,0.0442352294921875
病例39,near,0.8304904051172708,0.7690824198132359,0.5305389827080594,0.0655975341796875
病例4,far,0.5084008843036109,0.5755223880597015,0.45297559007464194,0.0068511962890625
病例4,near,0.6855914291961227,0.6813356494885158,0.6664741275571601,0.0
病例40,far,0.11745746428239377,0.14435879467414156,0.20292538999968612,0.047943115234375
病例40,near,0.7397081629775836,0.7100190425283133,0.6254129679105979,0.0518035888671875
病例42,far,0.12912700020255216,0.14353262582746665,0.10955325263432901,0.0
病例42,near,0.3710712522626296,0.40875143326412344,0.4570941185196173,0.023040771484375
病例43,far,0.2468538838261732,0.25761781492686275,0.51595842531273,0.134552001953125
病例43,near,0.48817934782608696,0.612725246650178,0.7529040488820251,0.0
病例44,far,0.09298721425803952,0.19404130170705197,0.17810144372045483,0.0
病例44,near,0.6920919022501433,0.8435156211195549,0.8746094170886758,0.0363616943359375
病例45,far,0.5942188437687538,0.6328554489597931,0.669937744011818,0.0110626220703125
病例45,near,0.2903344200004318,0.34739710817835423,0.33229325082594785,0.191375732421875
病例46,far,0.2907493764233814,0.27644554011653966,0.4651869158878505,0.0
病例46,near,0.2586107621440536,0.30558450315699137,0.4036345722261755,0.1573028564453125
病例48,far,0.25571135969749487,0.24988530356323596,0.24745335350479072,0.0
病例48,near,0.4248460464734379,0.5094116381628482,0.5477521546703936,0.0
病例49,far,0.20173276857912978,0.24272784473161996,0.25837002150097266,0.13262939453125
病例49,near,0.7985267970535941,0.7329026376805851,0.7131580521059661,0.0
病例5,far,0.6229929351316634,0.300689259046525,0.14372845399098383,0.0
病例5,near,0.4199783516313592,0.377030258059197,0.340512223515716,0.03704833984375
病例50,far,0.625257912562775,0.6374315789473685,0.657992722349158,0.0
病例50,near,0.29122750494776084,0.3270364632708271,0.2734533215436835,0.120941162109375
病例52,far,0.0,0.0,0.0,0.177093505859375
病例52,near,9.27299703264095e-05,2.3120318135577546e-05,0.020153090369016337,0.2038116455078125
病例53,far,0.22550613270282252,0.21347666113556021,0.33280701754385966,0.0158538818359375
病例53,near,0.24049023596419852,0.3237151831015083,0.2639464360775836,0.0
病例54,far,0.25272896372803366,0.4467255183740505,0.4195215837228485,0.0941619873046875
病例54,near,0.29465561589025435,0.28454503007498144,0.34720870119842895,0.0501708984375
